permit_no,contractor,permit_type,blocks,n_blocks,start_date,end_date,permit_type_std,group
PC/CPA/0000152/04-24,GNPC Exploration and Production Company Limited,Contractor Party to Petroleum Agreement,Deepwater Cape Threee Point West,1,2024-04-18,2025-04-17,Contractor Party to Petroleum Agreement,GNPC
PC/CPA/0000153/04-24,GNPC Exploration and Production Company Limited,Contractor Party to Petroleum Agreement,Expanded Shallow Water Tano,1,2024-04-18,2025-04-17,Contractor Party to Petroleum Agreement,GNPC
PC/CPA/0000154/04-24R,Kosmos Energy Ghana HC,Contractor Party to Petroleum Agreement,West Cape Three Points,1,2024-04-10,2025-04-09,Contractor Party to Petroleum Agreement,KOSMOS
PC/CPA/0000155/05-24R,Kosmos Energy Ghana Investments,Contractor Party to Petroleum Agreement,West Cape Three Points,1,2024-05-11,2025-05-10,Contractor Party to Petroleum Agreement,KOSMOS
PC/CPA/0000156/04-24R,Kosmos Energy Ghana HC,Contractor Party to Petroleum Agreement,Deepwater Tano,1,2024-04-10,2025-04-09,Contractor Party to Petroleum Agreement,KOSMOS
PC/CPA/0000157/05-24R,Kosmos Energy Ghana Investments,Contractor Party to Petroleum Agreement,Deepwater Tano,1,2024-05-11,2025-05-10,Contractor Party to Petroleum Agreement,KOSMOS
PC/CPA/0000158/0524R,Pecan Energies Ghana Limited,Contractor Party to Petroleum Agreement,Deepwater Tano / Cape 3 Points,1,2024-05-13,2025-05-12,Contractor Party to Petroleum Agreement,PECAN
PC/CPA/0000159/0524R,Lukoil Overseas Ghana Tano Limited,Contractor Party to Petroleum Agreement,Deepwater Tano / Cape 3 Points,1,2024-05-24,2025-05-23,Contractor Party to Petroleum Agreement,LUKOIL
PC/CPA/0000160/0624R,FT Exploration & Production Limited,Contractor Party to Petroleum Agreement,Deepwater Tano / Cape 3 Points,1,2024-06-19,2025-06-18,Contractor Party to Petroleum Agreement,FT EXPLORATION
PC/CPA/0000161/01-24R,Vitol Upstream Tano Limited,Contractor Party to Petroleum Agreement,Cape Theree Points Block 4,1,2024-01-21,2025-01-20,Contractor Party to Petroleum Agreement,VITOL
PC/CPA/0000162/01-24R,Vitol Upstream Ghana Limited,Contractor Party to Petroleum Agreement,Offshore Cape Three Points,1,2024-01-19,2025-01-18,Contractor Party to Petroleum Agreement,VITOL
PC/CPA/0000163/05-24R,Eni Ghana Exploration and Production Limited,Contractor Party to Petroleum Agreement,Cape Theree Points Block 4,1,2024-05-10,2025-05-09,Contractor Party to Petroleum Agreement,ENI
